ControlID,Properties,DefaultValue,MustConfigure
SL_1.1,GetLabel > Published,TRUE,
SL_1.2,GetLabel > LabelActions > Type ,applycontentmarking,
SL_1.3,GetLabel > DisplayName,,TRUE
SL_1.4,GetLabelPolicy > Settings > mandatory,TRUE,
SL_1.5,GetLabelPolicy > Settings > powerbimandatory,TRUE,
SL_1.6,GetLabelPolicy > Settings > teamworkmandatory,TRUE,
SL_1.7,GetLabelPolicy > Settings > inheritlabelfromcontent,TRUE,
SL_1.8,GetLabelPolicy > Settings > requiredowngradejustification,TRUE,
SL_1.9,GetLabelPolicy > Settings > siteandgroupmandatory,TRUE,
SL_1.10,GetLabelPolicy > Settings > customurl,Not Null,
SL_1.11,GetLabelPolicy > Settings > powerbidefaultlabelid,Not Null,
SL_1.12,GetLabelPolicy > Settings > defaultlabelid,Not Null,
SL_1.13,GetLabel > ContentType,Teamwork,
SL_1.14,GetLabel > ContentType,"Site, UnifiedGroup",
SL_1.16,GetLabel > LabelActions > Type ,encrypt,
SAL_2.3,GetLabel > Conditions > Key,autoapplytype,
SAL_2.3,GetLabel > Conditions > Value,Recommend,
SAL_2.4,GetAutoSensitivityLabelPolicy > Mode,Enable,
SAL_2.4,GetAutoSensitivityLabelPolicy > Type,AutoLabeling,
SAL_2.4,GetAutoSensitivityLabelPolicy > Workload,"SharePoint, OneDriveForBusiness",
