ControlID,Properties,DefaultValue,MustConfigure
SL_1.1,GetLabel > Published,TRUE,
SL_1.2,GetLabel > LabelActions > Type ,applycontentmarking,
SL_1.3,GetLabel > DisplayName,"UNOFFICIAL, OFFICIAL, OFFICIAL SENSITIVE",TRUE
SL_1.4,GetLabelPolicy > Settings > mandatory,TRUE,
SL_1.5,GetLabelPolicy > Settings > powerbimandatory,TRUE,
SL_1.6,GetLabelPolicy > Settings > teamworkmandatory,TRUE,
SL_1.7,GetLabelPolicy > Settings > inheritlabelfromcontent,automatic,
SL_1.8,GetLabelPolicy > Settings > requiredowngradejustification,TRUE,
SL_1.9,GetLabelPolicy > Settings > siteandgroupmandatory,TRUE,
SL_1.10,GetLabelPolicy > Settings > customurl,Not Null,
SL_1.11,GetLabelPolicy > Settings > powerbidefaultlabelid,Not Null,
SL_1.12,GetLabelPolicy > Settings > defaultlabelid,Not Null,
SL_1.13,GetLabel > ContentType,Teamwork,
SL_1.14,GetLabel > ContentType,"Site, UnifiedGroup",
SL_1.16,GetLabel > LabelActions > Type ,encrypt,
SAL_2.3,GetLabel > Conditions >> Key,autoapplytype,
SAL_2.3,GetLabel > Conditions >> Value,Recommend,
SAL_2.4,GetAutoSensitivityLabelPolicy > Mode,Enable,
SAL_2.4,GetAutoSensitivityLabelPolicy > Type,AutoLabeling,
SAL_2.4,GetAutoSensitivityLabelPolicy > Workload,"SharePoint, OneDriveForBusiness",
DLP_4.1,GetDlpComplianceRule > PrependSubject,Not Null,
DLP_4.1,GetDlpComplianceRule > Workload,Exchange,
DLP_4.2,GetDlpComplianceRule > SetHeader,Not Null,
DLP_4.2,GetDlpComplianceRule > Workload,Exchange,
DLP_4.3,GetDlpComplianceRule > Workload,EndpointDevices,
DLP_4.3,GetDlpComplianceRule > AdvancedRule >> Labels > Name,Not Null,
DLP_4.4,GetDlpComplianceRule > AdvancedRule >> Sensitivetypes > Name,Not Null,
DLP_4.6,GetDlpComplianceRule > AdvancedRule >> Sensitivetypes > Name,Not Null,
DLP_4.6,GetDlpComplianceRule > AdvancedRule >> Sensitivetypes > Mincount,10,
DLP_4.7,GetDlpComplianceRule > AdvancedRule >> Sensitivetypes > Name,"[Custom] Gender, Australia Medical Account Number",
DLP_4.8,GetDlpComplianceRule > AdvancedRule >> Sensitivetypes > Classifiertype,MLModel,
